Word,Count
sexism,1
impacted,1
white,1
homelessness,1
inequity,1
wage,1
poverty,1
💥,1
bringing,1
representation,1
apart,1
attacked,1
abused,1
harassed,1
autonomy,1
bodily,1
🥵🥵😍😍❤️❤️,1
transman,1
sexy,1
tearing,1
✌️👑,1
rejected,1
roundly,1
spoke,1
❤💫,1
financial,1
current,1
say⁠,1
megaphone,1
defending,1
rajan,1
degrade,1
complete,1
🎄❤️💚❤️💚❤️💚,1
hurtful,1
selfish,1
upsetting,1
bigoted,1
suffering,1
nb,1
hours,1
24,1
sicc,1
diagnosed,1
acting,1
mullen,1
monae,1
myliah,1
held,1
vigil,1
room,1
twerking,1
chyna,1
❤️❤️,1
amol,1
normsroles,1
editors,1
dinner,1
uninvited,1
holidays🎄🏳️‍🌈🏳️‍⚧️,1
county,1
mateo,1
resource,1
attached,1
epic,1
felt,1
checking,1
looking,1
appropriately,1
dealt,1
yrself,1
insulting,1
urgently,1
fiaxoxo,1
thoughtful,1
there😉❤️,1
hello,1
quick,1
kindness,1
comprehend,1
sense,1
“biology”,1
suddenly,1
faced,1
polish,1
“girls”,1
cisguys,1
i’d,1
differently,1
